pick_hour,fare_amount
4,24.620532319391632
5,23.440660457239616
3,21.402248520710057
0,20.15281590763307
23,19.996101426307412
6,19.149351166761576
14,18.8853942800462
13,18.033201103828951
2,18.028235294117636
16,18.01577757268111
15,17.638347365138742
1,17.621156642432272
12,17.375108225108217
10,17.375
7,17.163136337039219
11,17.123609094382882
21,17.060762498145664
22,16.937145238977436
17,16.893523087525814
20,16.801254071661209
9,16.767353893013563
19,16.561755809157134
8,15.931967406243906
18,15.3760560889338
